,Hospital_Name,TE_VRS,TE_CRS,Scale_Efficiency,Size_Category,Quality_Category
22,ALBERT EINSTEIN MEDICAL CENTER,0.997018273098025,1.054493771327925,1.0576473869945302,Small,Low
0,ST. MARY MEDICAL CENTER,1.5170440158096026,7.885287787075776,5.197797628085053,Small,Low
35,PENN PRESBYTERIAN MEDICAL CENTER,1.6079436764433321,1.7234445879450997,1.0718314411094598,Small,Low
32,NAZARETH HOSPITAL,1.6891636311598572,7.885287787075777,4.668161000874366,Small,Low
17,MEADVILLE MEDICAL CENTER,1.7765333645725245,4.875233244661011,2.7442396196336603,Small,Low
15,CLARION HOSPITAL,1.8974450725273353,8.183509196277582,4.312909667196538,Small,Low
2,GRAND VIEW HOSPITAL,2.0062231665369996,2.006223166537,1.0000000000000002,Small,Low
14,UPMC NORTHWEST,2.0620451307515064,2.060247466755794,0.9991282130691983,Small,Low
20,LEHIGH VALLEY HOSPITAL,2.2512378471679537,3.443680850825393,1.5296832607703033,Small,Low
19,PHOENIXVILLE HOSPITAL,2.260755664797349,1.5958047912662043,0.7058722957614485,Small,Low
